id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,date-purchased,grading-company,grading-cert-id,folder
6656,The Hobbit,Xbox,696,Item only,Normal wear,,,0,1,2025-08-18,,,,
11885,Devil May Cry 4,Xbox 360,652,Item only,Normal wear,,,0,1,2025-06-05,,,,
65120,Army of Two [Platinum Hits],Xbox 360,543,Item only,Normal wear,,,0,1,2026-05-03,2026-05-03,,,
10616,Dead or Alive 4,Xbox 360,1187,Item only,Normal wear,,,0,1,2025-07-12,,,,
6594,Splinter Cell,Xbox,527,Item only,Normal wear,,,0,1,2026-03-10,2026-03-10,,,
21941,Mafia II,Xbox 360,629,Item only,Normal wear,,,0,1,2025-10-09,,,,
11882,Lost Odyssey,Xbox 360,6026,"Item, Box, and Manual",Normal wear,,,0,2,2024-12-21,,,,
34273,Grand Theft Auto V,Xbox 360,873,Item only,Normal wear,,,0,1,2025-01-05,,,,
30990,Gears of War Triple Pack,Xbox 360,4000,"New Item, Box, and Manual",Normal wear,,,0,1,2026-03-28,2026-03-28,,,
32746,Max Payne 3,Xbox 360,990,Item only,Normal wear,,,0,1,2025-07-21,,,,
10699,Phantasy Star Universe,Xbox 360,959,Item only,Normal wear,,,0,1,2024-12-06,,,,
22036,Greg Hastings Paintball 2,Xbox 360,749,Item only,Normal wear,,,0,1,2025-02-28,,,,
34059,Elder Scrolls V: Skyrim [Legendary Edition],Xbox 360,792,Item only,Normal wear,,,0,1,2025-01-05,,,,
35333,Dragon Age: Inquisition,Xbox 360,414,Item only,Normal wear,,,0,1,2025-01-05,,,,
32752,Dragon's Dogma,Xbox 360,400,Item only,Normal wear,,,0,1,2025-07-21,,,,
6770,Tenchu Z,Xbox 360,2066,"Item, Box, and Manual",Normal wear,,,0,1,2025-07-12,,,,
10332,Guitar Hero III Legends of Rock,Xbox 360,1048,Item only,Normal wear,,,0,1,2025-11-25,,,,
6528,Rainbow Six 3,Xbox,299,Item only,Normal wear,,,0,1,2025-08-19,,,,
16375,Resident Evil 5,Xbox 360,599,Item only,Normal wear,,,0,1,2025-07-21,,,,
31909,Dance Central 2,Xbox 360,561,Item only,Normal wear,,,0,1,2025-04-09,,,,
